#   x       y(x)         y(x)^2         classical p(x)      V
 -7.280  0.50414121E-08  0.25415836E-16  0.00000000E+00   26.499200
 -7.270  0.53912343E-08  0.29065408E-16  0.00000000E+00   26.426450
 -7.260  0.57647064E-08  0.33231840E-16  0.00000000E+00   26.353800
 -7.250  0.61633829E-08  0.37987289E-16  0.00000000E+00   26.281250
 -7.240  0.65889174E-08  0.43413832E-16  0.00000000E+00   26.208800
 -7.230  0.70430687E-08  0.49604816E-16  0.00000000E+00   26.136450
 -7.220  0.75277072E-08  0.56666376E-16  0.00000000E+00   26.064200
 -7.210  0.80448221E-08  0.64719162E-16  0.00000000E+00   25.992050
 -7.200  0.85965280E-08  0.73900294E-16  0.00000000E+00   25.920000
 -7.190  0.91850732E-08  0.84365570E-16  0.00000000E+00   25.848050
 -7.180  0.98128476E-08  0.96291979E-16  0.00000000E+00   25.776200
 -7.170  0.10482391E-07  0.10988053E-15  0.00000000E+00   25.704450
 -7.160  0.11196404E-07  0.12535946E-15  0.00000000E+00   25.632800
 -7.150  0.11957754E-07  0.14298787E-15  0.00000000E+00   25.561250
 -7.140  0.12769488E-07  0.16305983E-15  0.00000000E+00   25.489800
 -7.130  0.13634845E-07  0.18590900E-15  0.00000000E+00   25.418450
 -7.120  0.14557264E-07  0.21191394E-15  0.00000000E+00   25.347200
 -7.110  0.15540397E-07  0.24150395E-15  0.00000000E+00   25.276050
 -7.100  0.16588124E-07  0.27516587E-15  0.00000000E+00   25.205000
 -7.090  0.17704564E-07  0.31345159E-15  0.00000000E+00   25.134050
 -7.080  0.18894089E-07  0.35698662E-15  0.00000000E+00   25.063200
 -7.070  0.20161343E-07  0.40647976E-15  0.00000000E+00   24.992450
 -7.060  0.21511253E-07  0.46273401E-15  0.00000000E+00   24.921800
 -7.050  0.22949050E-07  0.52665888E-15  0.00000000E+00   24.851250
 -7.040  0.24480283E-07  0.59928423E-15  0.00000000E+00   24.780800
 -7.030  0.26110841E-07  0.68177604E-15  0.00000000E+00   24.710450
